Date	Price($/gallon)
07-07-08	4.165
14-07-08	4.164
30-06-08	4.146
16-06-08	4.134
23-06-08	4.131
21-07-08	4.118
09-06-08	4.09
02-06-08	4.026
09-05-11	4.018
02-05-11	4.014
16-05-11	4.014
28-07-08	4.01
09-04-12	3.997
02-04-12	3.996
26-05-08	3.986
16-04-12	3.98
26-03-12	3.973
17-09-12	3.939
04-08-08	3.935
25-04-11	3.932
23-04-12	3.929
19-03-12	3.923
08-10-12	3.914
10-09-12	3.907
23-05-11	3.904
03-09-12	3.903
18-04-11	3.896
30-04-12	3.889
24-09-12	3.889
15-09-08	3.887
15-10-12	3.886
12-03-12	3.884
01-10-12	3.866
11-08-08	3.864
25-02-13	3.851
07-05-12	3.849
05-03-12	3.849
30-05-11	3.848
11-04-11	3.843
19-05-08	3.84
27-08-12	3.837
06-06-11	3.833
04-03-13	3.826
14-05-12	3.814
18-02-13	3.812
20-08-12	3.803
18-08-08	3.794
27-02-12	3.78
13-08-12	3.779
11-03-13	3.779
21-05-12	3.773
22-09-08	3.772
12-05-08	3.771
13-06-11	3.767
01-08-11	3.766
18-03-13	3.764
22-10-12	3.756
25-07-11	3.754
22-07-13	3.751
25-03-13	3.746
25-08-08	3.738
04-04-11	3.737
18-07-11	3.736
01-09-08	3.733
08-08-11	3.73
20-05-13	3.729
28-05-12	3.728
05-09-11	3.727
29-07-13	3.716
10-06-13	3.715
12-09-11	3.715
01-04-13	3.714
20-06-11	3.708
15-07-13	3.706
03-06-13	3.705
27-05-13	3.704
06-08-12	3.702
05-08-13	3.701
08-09-08	3.701
11-07-11	3.695
17-06-13	3.689
29-09-08	3.687
29-08-11	3.682
11-02-13	3.677
08-04-13	3.676
04-06-12	3.671
13-05-13	3.665
05-05-08	3.663
15-08-11	3.662
19-09-11	3.657
28-04-08	3.653
20-02-12	3.652
28-03-11	3.65
24-06-13	3.645
29-10-12	3.638
22-08-11	3.638
04-07-11	3.634
12-08-13	3.633
27-06-11	3.631
11-06-12	3.629
26-08-13	3.623
19-08-13	3.622
14-03-11	3.621
21-03-11	3.617
15-04-13	3.611
04-02-13	3.604
