Date	Price($/gallon)
22-02-99	0.949
01-03-99	0.955
15-02-99	0.96
08-03-99	0.963
08-02-99	0.968
01-02-99	0.971
25-01-99	0.977
04-01-99	0.977
28-12-98	0.979
11-01-99	0.982
18-01-99	0.985
21-12-98	0.986
14-12-98	0.987
03-01-94	0.992
10-01-94	0.995
07-12-98	0.996
24-01-94	0.999
27-12-93	0.999
17-01-94	1.001
20-12-93	1.003
28-02-94	1.004
31-01-94	1.005
14-03-94	1.005
21-03-94	1.007
07-03-94	1.007
07-02-94	1.007
21-02-94	1.009
04-04-94	1.011
28-03-94	1.012
30-11-98	1.015
14-02-94	1.016
15-03-99	1.017
13-12-93	1.018
11-04-94	1.028
23-11-98	1.03
18-04-94	1.033
06-12-93	1.036
25-04-94	1.037
16-11-98	1.037
02-05-94	1.04
14-09-98	1.042
20-09-93	1.045
09-05-94	1.045
07-09-98	1.046
16-05-94	1.046
27-09-93	1.047
23-03-98	1.047
09-11-98	1.048
02-11-98	1.05
23-05-94	1.05
13-09-93	1.051
29-11-93	1.051
21-09-98	1.053
31-08-98	1.053
28-09-98	1.053
16-03-98	1.055
06-09-93	1.055
26-10-98	1.055
22-03-99	1.056
30-05-94	1.056
22-11-93	1.058
24-08-98	1.058
19-10-98	1.058
16-08-93	1.059
05-10-98	1.059
09-08-93	1.06
30-08-93	1.062
02-08-93	1.062
12-10-98	1.063
15-11-93	1.064
23-08-93	1.065
06-06-94	1.065
09-03-98	1.065
17-08-98	1.065
05-04-93	1.068
26-07-93	1.069
10-08-98	1.072
13-04-98	1.072
13-06-94	1.073
06-04-98	1.074
20-04-98	1.075
08-11-93	1.075
02-03-98	1.075
19-07-93	1.075
30-03-98	1.077
03-08-98	1.077
19-04-93	1.079
20-06-94	1.079
12-04-93	1.079
12-07-93	1.081
01-11-93	1.084
16-02-98	1.085
27-04-98	1.086
03-05-93	1.086
05-07-93	1.086
26-04-93	1.086
27-07-98	1.088
28-06-93	1.089
11-10-93	1.09
23-02-98	1.09
04-10-93	1.092
13-07-98	1.092
25-10-93	1.092
18-10-93	1.093
04-05-98	1.095
27-06-94	1.095
21-06-93	1.095
29-06-98	1.096
22-06-98	1.096
04-07-94	1.097
20-07-98	1.097
10-05-93	1.097
06-07-98	1.097
09-02-98	1.101
14-06-93	1.101
17-12-01	1.101
11-07-94	1.103
01-06-98	1.104
15-06-98	1.104
07-06-93	1.104
20-11-95	1.106
24-05-93	1.106
17-10-94	1.106
17-05-93	1.106
27-11-95	1.107
31-05-93	1.107
24-10-94	1.107
04-12-95	1.108
25-05-98	1.108
02-02-98	1.108
18-07-94	1.109
13-11-95	1.109
18-05-98	1.109
11-05-98	1.109
11-12-95	1.11
06-11-95	1.112
26-01-98	1.112
08-06-98	1.113
24-12-01	1.113
21-11-94	1.113
25-07-94	1.114
10-10-94	1.114
20-03-95	1.114
20-02-95	1.115
30-10-95	1.115
13-03-95	1.116
28-11-94	1.117
03-10-94	1.12
27-03-95	1.121
31-10-94	1.121
13-02-95	1.121
27-02-95	1.121
29-03-99	1.121
14-11-94	1.122
06-03-95	1.123
07-11-94	1.123
18-12-95	1.124
06-02-95	1.124
26-12-94	1.125
23-10-95	1.125
16-01-95	1.126
12-02-96	1.126
05-12-94	1.127
02-01-95	1.127
25-12-95	1.128
01-01-96	1.129
26-09-94	1.129
19-01-98	1.129
05-02-96	1.13
01-08-94	1.13
12-12-94	1.131
30-01-95	1.131
23-01-95	1.132
16-10-95	1.133
29-01-96	1.133
19-02-96	1.133
03-04-95	1.133
09-01-95	1.134
19-12-94	1.134
10-12-01	1.136
31-12-01	1.137
22-01-96	1.138
08-01-96	1.139
12-01-98	1.14
19-09-94	1.14
28-01-02	1.142
09-10-95	1.144
15-01-96	1.145
21-01-02	1.146
14-06-99	1.148
05-01-98	1.148
11-02-02	1.148
10-04-95	1.149
03-12-01	1.149
12-09-94	1.15
02-10-95	1.151
31-05-99	1.151
07-06-99	1.152
07-01-02	1.152
14-01-02	1.152
